date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:00:37	148/148	---M-Z	200	added ('OK')	text/plain	date:Thu,%2021%20Nov%202024%2003:00:34%20GMT	https://tamubali.com/robots.txt		(from )
11:00:37	177008/177008	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Nov%202024%2003:00:35%20GMT	https://tamubali.com/pawiwahan-arunda-radit3/	C:/Users/budia/Downloads/Music/pawiwahan/tamubali.com/pawiwahan-arunda-radit3/index.html	(from )
11:00:37	15436/15436	---M-Z	200	added ('OK')	text/css	etag:%223c4c-6710bf3e-6d5bc70d8d08504d;gz%22	https://tamubali.com/wp-content/plugins/dynamic-content-for-elementor/assets/css/animations.css?ver=3.0.16	C:/Users/budia/Downloads/Music/pawiwahan/tamubali.com/wp-content/plugins/dynamic-content-for-elementor/assets/css/animations952b.css	(from https://tamubali.com/pawiwahan-arunda-radit3/)
11:00:38	8664/8664	---MCZ	200	added ('OK')	application/rss+xml	etag:%22d84ed25d62d0233374033033746b7075%22	https://tamubali.com/pawiwahan-arunda-radit3/feed/	C:/Users/budia/Downloads/Music/pawiwahan/tamubali.com/pawiwahan-arunda-radit3/feed/index.html	(from https://tamubali.com/pawiwahan-arunda-radit3/)
11:00:38	75973/75973	---M-Z	200	added ('OK')	text/css	etag:%22128c5-6722f2fc-ec55a1f12c1580;gz%22	https://tamubali.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=1.6.45	C:/Users/budia/Downloads/Music/pawiwahan/tamubali.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontendb5cf.css	(from https://tamubali.com/pawiwahan-arunda-radit3/)
11:00:38	94596/94596	---M-Z	200	added ('OK')	text/css	etag:%2217184-6715bb61-555d838a7d292838;gz%22	https://tamubali.com/wp-content/plugins/weddingpress/assets/css/modules/bdt-uikit.css?ver=3.15.1	C:/Users/budia/Downloads/Music/pawiwahan/tamubali.com/wp-content/plugins/weddingpress/assets/css/modules/bdt-uikit5829.css	(from https://tamubali.com/pawiwahan-arunda-radit3/)
11:00:38	38644/38644	---M-Z	200	added ('OK')	text/css	etag:%2296f4-6715bb61-120d9e237530fd0a;gz%22	https://tamubali.com/wp-content/plugins/weddingpress/assets/css/modules/ep-helper.css?ver=3.1.11.2	C:/Users/budia/Downloads/Music/pawiwahan/tamubali.com/wp-content/plugins/weddingpress/assets/css/modules/ep-helper2ee1.css	(from https://tamubali.com/pawiwahan-arunda-radit3/)
11:00:38	59005/59005	---M-Z	200	added ('OK')	text/css	etag:%22e67d-6710bf55-36615fbd56d675ea;gz%22	https://tamubali.com/wp-content/plugins/jet-engine/assets/css/frontend.css?ver=3.5.5	C:/Users/budia/Downloads/Music/pawiwahan/tamubali.com/wp-content/plugins/jet-engine/assets/css/frontenda25a.css	(from https://tamubali.com/pawiwahan-arunda-radit3/)
11:00:39	307/307	---M-Z	200	added ('OK')	text/css	etag:%22133-67178698-5f7da5af406d174;gz%22	https://tamubali.com/wp-content/uploads/useanyfont/uaf.css?ver=1729595032	C:/Users/budia/Downloads/Music/pawiwahan/tamubali.com/wp-content/uploads/useanyfont/uaff6fe.css	(from https://tamubali.com/pawiwahan-arunda-radit3/)
11:00:39	776/776	---M-Z	200	added ('OK')	text/css	etag:%22308-6722f2fc-f0479be9e5283008;gz%22	https://tamubali.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.6.45	C:/Users/budia/Downloads/Music/pawiwahan/tamubali.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementorb5cf.css	(from https://tamubali.com/pawiwahan-arunda-radit3/)
11:00:39	235105/235105	---M-Z	200	added ('OK')	text/css	etag:%2239661-6710bf4f-5680af8d8a2756aa;gz%22	https://tamubali.com/wp-content/plugins/jet-elements/assets/css/jet-elements.css?ver=2.6.20.1	C:/Users/budia/Downloads/Music/pawiwahan/tamubali.com/wp-content/plugins/jet-elements/assets/css/jet-elements2980.css	(from https://tamubali.com/pawiwahan-arunda-radit3/)
11:00:39	17781/17781	---M-Z	200	added ('OK')	text/css	etag:%224575-6710bf4f-344b92150e1d3d3;gz%22	https://tamubali.com/wp-content/plugins/jet-elements/assets/css/jet-elements-skin.css?ver=2.6.20.1	C:/Users/budia/Downloads/Music/pawiwahan/tamubali.com/wp-content/plugins/jet-elements/assets/css/jet-elements-skin2980.css	(from https://tamubali.com/pawiwahan-arunda-radit3/)
11:00:40	19862/19862	---M-Z	200	added ('OK')	text/css	etag:%224d96-6729eb61-f8a4af8de8ee1450;gz%22	https://tamubali.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.31.0	C:/Users/budia/Downloads/Music/pawiwahan/tamubali.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min0fd8.css	(from https://tamubali.com/pawiwahan-arunda-radit3/)
